"Sp"	"Algorithm"	"Threshold"	"Partition"	"AUC"	"Kappa"	"TSS"	"Jaccard"	"Sorensen"	"Fpb"	"OR"	"Boyce"	"AUC_SD"	"Kappa_SD"	"TSS_SD"	"Jaccard_SD"	"Sorensen_SD"	"Fpb_SD"	"OR_SD"	"Boyce_SD"
"Sp_14"	"MXD"	"MAX_TSS"	"KFOLD"	0.789115646258503	0.523809523809524	0.523809523809524	0.678125	0.807991120976692	1.35625	0	0.3065	0.0256546677981514	0.0673435029701472	0.0673435029701472	0.0309359216769114	0.0219744615685056	0.0618718433538228	0	0.0685893577750951
"Sp_14"	"PCA"	"MAX_TSS"	"KFOLD"	0.792517006802721	0.571428571428571	0.571428571428571	0.7	0.823529411764706	1.4	0	0.246	0.0432922519093802	0	0	0	0	0	0	0.280014285349873
"Sp_14"	"RDF"	"MAX_TSS"	"KFOLD"	0.782312925170068	0.571428571428571	0.571428571428571	0.7	0.823529411764706	1.4	0	0.245	0.0384820016972277	0	0	0	0	0	0	0.125865007051205
"Sp_14"	"SVM"	"MAX_TSS"	"KFOLD"	0.792517006802721	0.595238095238095	0.595238095238095	0.707142857142857	0.82843137254902	1.41428571428572	0.0238095238095238	0.4365	0.024051251060767	0.033671751485074	0.033671751485074	0.0101015254455219	0.00693241942339726	0.0202030508910452	0.0336717514850738	0.137885822331377
"Sp_17"	"MXD"	"MAX_TSS"	"KFOLD"	0.929362880886427	0.868421052631579	0.868421052631579	0.884199134199134	0.938414634146342	1.76839826839827	0	0.6875	0.0293811681933468	0.0372161463782391	0.0372161463782391	0.0290801490098363	0.016384181515298	0.0581602980196712	0	0.0346482322781408
"Sp_17"	"PCA"	"MAX_TSS"	"KFOLD"	0.930747922437673	0.815789473684211	0.815789473684211	0.836580086580087	0.910783055198973	1.67316017316017	0.0526315789473685	0.452	0.0195874454622307	0.0372161463782398	0.0372161463782398	0.0382633539603109	0.0226927721818534	0.0765267079206233	0.0744322927564788	0.0254558441227157
"Sp_17"	"RDF"	"MAX_TSS"	"KFOLD"	0.907894736842105	0.789473684210527	0.789473684210527	0.827651515151515	0.905275099262621	1.65530303030303	0	0.692	0.0107730950042272	0.0744322927564788	0.0744322927564788	0.0508902607672137	0.0304821981679965	0.101780521534432	0	0.346482322781408
"Sp_17"	"SVM"	"MAX_TSS"	"KFOLD"	0.947368421052631	0.815789473684211	0.815789473684211	0.836580086580087	0.910783055198973	1.67316017316017	0.0526315789473685	0.454	0.0195874454622314	0.0372161463782398	0.0372161463782398	0.0382633539603109	0.0226927721818534	0.0765267079206233	0.0744322927564788	0.0763675323681471
"Sp_18"	"MXD"	"MAX_TSS"	"KFOLD"	0.714532871972319	0.441176470588236	0.441176470588236	0.556842105263158	0.711672473867596	1.11368421052632	0.264705882352941	0.5215	0.100316186950341	0.0415945165403854	0.0415945165403854	0.117603022555236	0.0973195744141765	0.235206045110472	0.291161615782696	0.126572113832392
"Sp_18"	"PCA"	"MAX_TSS"	"KFOLD"	0.683391003460208	0.38235294117647	0.38235294117647	0.493135011441648	0.657407407407407	0.986270022883297	0.382352941176471	0.451	0.0513814616087106	0.0415945165403854	0.0415945165403854	0.10193987920996	0.0916619901538113	0.203879758419923	0.207972582701925	0.045254833995939
