"sp"	"x"	"y"	"Partition"	"PresAbse"
"Sp_14"	-55.3752585	-31.7084465	2	1
"Sp_14"	-54.3752625	-30.9584495	2	1
"Sp_14"	-54.2085965	-31.2917815	2	1
"Sp_14"	-51.2086085	-28.5417925	2	1
"Sp_14"	-59.7919075	-31.8751125	2	1
"Sp_14"	-54.2085965	-30.9584495	2	1
"Sp_14"	-57.2919175	-29.1251235	2	1
"Sp_14"	-55.7919235	-26.8751325	2	1
"Sp_14"	-57.3752505	-28.8751245	2	1
"Sp_14"	-55.4585915	-29.9584535	2	1
"Sp_14"	-52.5419365	-31.2084485	2	1
"Sp_14"	-58.7085785	-29.8751205	2	1
"Sp_14"	-52.7086025	-32.3751105	2	1
"Sp_14"	-57.8752485	-30.4584515	2	1
"Sp_14"	-55.9585895	-33.1251075	2	1
"Sp_14"	-55.8752565	-25.2084725	2	1
"Sp_14"	-53.2086005	-29.8751205	2	1
"Sp_14"	-58.6252455	-33.5417725	2	1
"Sp_14"	-58.0419145	-29.6251215	2	1
"Sp_14"	-52.8752685	-28.4584595	2	1
"Sp_14"	-55.9585895	-25.9584695	2	1
"Sp_17"	-73.1251875	-15.0418465	2	1
"Sp_17"	-69.1252035	-17.7085025	2	1
"Sp_17"	-70.4585315	-15.5418445	2	1
"Sp_17"	-69.1252035	-18.8751645	2	1
"Sp_17"	-71.2085285	-13.8751845	2	1
"Sp_17"	-73.4585195	-14.3751825	2	1
"Sp_17"	-72.7085225	-15.4585115	2	1
"Sp_17"	-70.9585295	-15.7918435	2	1
"Sp_17"	-71.2085285	-14.3751825	2	1
"Sp_17"	-69.2085365	-18.7084985	2	1
"Sp_17"	-72.3751905	-14.2085165	2	1
"Sp_17"	-73.6251855	-14.4585155	2	1
"Sp_17"	-70.5418645	-14.3751825	2	1
"Sp_17"	-70.7085305	-15.7085105	2	1
"Sp_17"	-71.5418605	-14.9585135	2	1
"Sp_17"	-68.5418725	-18.7918315	2	1
"Sp_17"	-72.2085245	-14.4585155	2	1
"Sp_17"	-71.8751925	-14.2085165	2	1
"Sp_17"	-72.0418585	-15.9585095	2	1
"Sp_18"	-51.6252735	-17.2085045	2	1
"Sp_18"	-64.1252235	-29.6251215	2	1
"Sp_18"	-57.7085825	-29.6251215	2	1
"Sp_18"	-61.0419025	-24.1251435	2	1
"Sp_18"	-61.5419005	-26.7917995	2	1
"Sp_18"	-61.8752325	-27.6251295	2	1
"Sp_18"	-64.8752205	-30.6251175	2	1
"Sp_18"	-64.6252215	-24.5418085	2	1
"Sp_18"	-51.8752725	-22.4584835	2	1
"Sp_18"	-55.7919235	-21.6251535	2	1
"Sp_18"	-62.9585615	-20.8751565	2	1
"Sp_18"	-67.5418765	-30.2917855	2	1
"Sp_18"	-58.5419125	-28.7084585	2	1
"Sp_18"	-42.7919755	-16.8751725	2	1
"Sp_18"	-50.4586115	-22.5418165	2	1
"Sp_18"	-58.0419145	-32.2917775	2	1
"Sp_18"	-50.9586095	-19.0418305	2	1
"Sp_34"	-70.7085305	-11.9585255	2	1
"Sp_34"	-55.2085925	-8.1252075	2	1
"Sp_34"	-64.9585535	-5.3752185	2	1
"Sp_34"	-67.2918775	-5.0418865	2	1
"Sp_34"	-68.2085405	-7.2085445	2	1
"Sp_34"	-68.9585375	-4.2918895	2	1
"Sp_34"	-57.4585835	-5.8752165	2	1
"Sp_34"	-54.6252615	-7.7085425	2	1
"Sp_34"	-66.7918795	-8.0418745	2	1
"Sp_34"	-57.0419185	-8.2918735	2	1
"Sp_34"	-60.0419065	-6.8752125	2	1
"Sp_34"	-64.6252215	-8.5418725	2	1
"Sp_34"	-66.5418805	-5.4585515	2	1
"Sp_34"	-67.3752105	-15.7918435	2	1
"Sp_34"	-72.9585215	-10.1251995	2	1
"Sp_34"	-59.2085765	-5.0418865	2	1
"Sp_34"	-60.2085725	-7.2918775	2	1
"Sp_34"	-67.7085425	-11.0418625	2	1
"Sp_34"	-67.2918775	-6.6252135	2	1
"Sp_34"	-59.1252435	-3.8752245	2	1
"Sp_34"	-60.8752365	-7.7085425	2	1
"Sp_34"	-56.4585875	-5.2918855	2	1
"Sp_34"	-63.7085585	-14.0418505	2	1
"Sp_34"	-56.0419225	-5.0418865	2	1
"Sp_39"	-63.5418925	-10.2085325	2	1
"Sp_39"	-69.7085345	-3.2918935	2	1
"Sp_39"	-63.5418925	3.2914135	2	1
"Sp_39"	-68.2085405	-3.9585575	2	1
"Sp_39"	-62.2918975	4.8747405	2	1
"Sp_39"	-63.7918915	3.1247475	2	1
"Sp_39"	-68.5418725	-5.7918835	2	1
"Sp_39"	-71.4585275	-6.5418805	2	1
"Sp_39"	-62.6252295	-5.1252195	2	1
"Sp_39"	-60.2085725	-6.7085465	2	1
"Sp_39"	-65.4585515	-3.5418925	2	1
"Sp_39"	-66.2085485	-5.0418865	2	1
"Sp_39"	-68.3752065	-6.4585475	2	1
"Sp_39"	-69.6252015	-7.1252115	2	1
"Sp_39"	-66.3752145	-3.4585595	2	1
"Sp_39"	-60.9585695	-5.7918835	2	1
"Sp_39"	-64.2085565	0.8747565	2	1
"Sp_39"	-64.2918895	-2.6252295	2	1
"Sp_39"	-63.6252255	3.0414145	2	1
"Sp_39"	-61.2919015	-7.9585415	2	1
"Sp_39"	-58.4585795	-6.6252135	2	1
"Sp_39"	-67.4585435	-4.7085545	2	1
"Sp_39"	-60.4585715	-5.8752165	2	1
"Sp_39"	-64.3752225	2.4580835	2	1
"Sp_14"	-60.91666194	-24.24999714	2	0
"Sp_14"	-50.08332774	-23.08333038	2	0
"Sp_14"	-57.41666166	-23.58333042	2	0
"Sp_14"	-50.74999446	-22.41666366	2	0
"Sp_14"	-57.9166617	-33.91666458	2	0
"Sp_14"	-58.91666178	-29.91666426	2	0
"Sp_14"	-64.5833289	-32.0833311	2	0
"Sp_14"	-61.91666202	-27.74999742	2	0
"Sp_14"	-53.41666134	-27.74999742	2	0
"Sp_14"	-53.58332802	-26.74999734	2	0
"Sp_14"	-52.74999462	-31.08333102	2	0
"Sp_14"	-57.58332834	-24.91666386	2	0
"Sp_14"	-62.0833287	-26.41666398	2	0
"Sp_14"	-61.91666202	-28.91666418	2	0
"Sp_14"	-56.2499949	-25.91666394	2	0
