"sp"	"x"	"y"	"Partition"	"PresAbse"
"Sp_14"	-54.2085965	-25.0418065	1	1
"Sp_14"	-58.2919135	-29.1251235	1	1
"Sp_14"	-57.2919175	-27.2917975	1	1
"Sp_14"	-52.0419385	-30.0417865	1	1
"Sp_14"	-52.0419385	-29.6251215	1	1
"Sp_14"	-54.0419305	-27.8751285	1	1
"Sp_14"	-55.9585895	-27.9584615	1	1
"Sp_14"	-59.5419085	-32.5417765	1	1
"Sp_14"	-55.7085905	-27.3751305	1	1
"Sp_14"	-57.3752505	-29.4584555	1	1
"Sp_14"	-54.5419285	-27.3751305	1	1
"Sp_14"	-57.0419185	-32.2917775	1	1
"Sp_14"	-56.1252555	-29.7917875	1	1
"Sp_14"	-54.6252615	-28.8751245	1	1
"Sp_14"	-56.1252555	-26.5418005	1	1
"Sp_14"	-53.7085985	-32.4584435	1	1
"Sp_14"	-57.2919175	-28.8751245	1	1
"Sp_14"	-58.7919115	-33.2084405	1	1
"Sp_14"	-52.3752705	-32.2084445	1	1
"Sp_14"	-59.3752425	-32.1251115	1	1
"Sp_14"	-56.2085885	-25.7084705	1	1
"Sp_17"	-70.8751965	-15.4585115	1	1
"Sp_17"	-72.5418565	-14.7918475	1	1
"Sp_17"	-69.7085345	-16.9585055	1	1
"Sp_17"	-71.1251955	-14.4585155	1	1
"Sp_17"	-69.3752025	-18.0418345	1	1
"Sp_17"	-71.6251935	-15.2918455	1	1
"Sp_17"	-69.7085345	-17.5418365	1	1
"Sp_17"	-71.4585275	-15.2085125	1	1
"Sp_17"	-68.8752045	-18.9584975	1	1
"Sp_17"	-69.9585335	-14.5418485	1	1
"Sp_17"	-68.0418745	-16.3751745	1	1
"Sp_17"	-68.5418725	-19.5418285	1	1
"Sp_17"	-68.2918735	-15.8751765	1	1
"Sp_17"	-70.0418665	-16.4585075	1	1
"Sp_17"	-70.6251975	-14.2085165	1	1
"Sp_17"	-72.1251915	-15.0418465	1	1
"Sp_17"	-70.5418645	-16.1251755	1	1
"Sp_17"	-70.2918655	-14.2918495	1	1
"Sp_17"	-70.9585295	-16.0418425	1	1
"Sp_18"	-57.4585835	-28.2084605	1	1
"Sp_18"	-60.3752385	-33.5417725	1	1
"Sp_18"	-61.3752345	-26.6251335	1	1
"Sp_18"	-61.2919015	-26.9584655	1	1
"Sp_18"	-61.3752345	-23.1251475	1	1
"Sp_18"	-62.2918975	-26.4584675	1	1
"Sp_18"	-59.5419085	-24.4584755	1	1
"Sp_18"	-57.4585835	-31.7917795	1	1
"Sp_18"	-62.4585635	-25.7084705	1	1
"Sp_18"	-58.1252475	-23.4584795	1	1
"Sp_18"	-63.7085585	-33.3751065	1	1
"Sp_18"	-42.2919775	-17.2918375	1	1
"Sp_18"	-63.2085605	-25.2918055	1	1
"Sp_18"	-59.2085765	-23.2918135	1	1
"Sp_18"	-65.4585515	-28.6251255	1	1
"Sp_18"	-64.6252215	-19.7084945	1	1
"Sp_18"	-56.2085885	-20.2918255	1	1
"Sp_34"	-71.2085285	-12.0418585	1	1
"Sp_34"	-68.2085405	-11.2918615	1	1
"Sp_34"	-68.4585395	-7.2085445	1	1
"Sp_34"	-68.2918735	-13.7918515	1	1
"Sp_34"	-71.3751945	-8.4585395	1	1
"Sp_34"	-71.2085285	-7.4585435	1	1
"Sp_34"	-69.1252035	-9.5418685	1	1
"Sp_34"	-60.4585715	-8.0418745	1	1
"Sp_34"	-69.5418685	-8.7918715	1	1
"Sp_34"	-54.3752625	-7.2085445	1	1
"Sp_34"	-60.7919035	-7.4585435	1	1
"Sp_34"	-67.7085425	-13.6251855	1	1
"Sp_34"	-65.3752185	-8.7918715	1	1
"Sp_34"	-68.1252075	-6.0418825	1	1
"Sp_34"	-66.0418825	-15.2085125	1	1
"Sp_34"	-54.8752605	-7.1252115	1	1
"Sp_34"	-64.4585555	-14.1251835	1	1
"Sp_34"	-58.7085785	-6.2918815	1	1
"Sp_34"	-73.0418545	-6.4585475	1	1
"Sp_34"	-55.9585895	-7.2085445	1	1
"Sp_34"	-68.4585395	-7.9585415	1	1
"Sp_34"	-71.7918595	-9.1252035	1	1
"Sp_34"	-51.2919415	-9.0418705	1	1
"Sp_39"	-64.0418905	-0.4585715	1	1
"Sp_39"	-70.8751965	-5.7918835	1	1
"Sp_39"	-71.7085265	-6.5418805	1	1
"Sp_39"	-65.7085505	-7.0418785	1	1
"Sp_39"	-64.8752205	1.1247555	1	1
"Sp_39"	-66.5418805	-2.9585615	1	1
"Sp_39"	-64.7918875	0.2914255	1	1
"Sp_39"	-64.0418905	-2.2085645	1	1
"Sp_39"	-68.7085385	-6.6252135	1	1
"Sp_39"	-61.7085665	-5.7085505	1	1
"Sp_39"	-67.4585435	-6.4585475	1	1
"Sp_39"	-60.8752365	-8.2085405	1	1
