"Sp"	"Algorithm"	"THR"	"THR_VALUE"	"TPR"	"TNR"
"Sp_14"	"MXD"	"MAX_KAPPA"	0.9532913	0.19047619047619	0.991436726926736
"Sp_14"	"MXD"	"MAX_TSS"	0.50768916	0.928571428571429	0.677291468442753
"Sp_14"	"MXD"	"LPT"	0.32802991	1	0.574690770694577
"Sp_14"	"MXD"	"SENSITIVITY"	0.52644495	0.880952380952381	0.687916270218839
"Sp_14"	"MXD"	"JACCARD"	0.9532913	0.19047619047619	0.991436726926736
"Sp_14"	"MXD"	"SORENSEN"	0.9532913	0.19047619047619	0.991436726926736
"Sp_14"	"SVM"	"MAX_KAPPA"	0.69975382	0.976190476190476	0.714285714285714
"Sp_14"	"SVM"	"MAX_TSS"	0.69975382	0.976190476190476	0.714285714285714
"Sp_14"	"SVM"	"LPT"	0.36379952	1	0.619047619047619
"Sp_14"	"SVM"	"SENSITIVITY"	0.78202316	0.880952380952381	0.738095238095238
"Sp_14"	"SVM"	"JACCARD"	0.69975382	0.976190476190476	0.714285714285714
"Sp_14"	"SVM"	"SORENSEN"	0.69975382	0.976190476190476	0.714285714285714
"Sp_14"	"RDF"	"MAX_KAPPA"	0.64297932	1	1
"Sp_14"	"RDF"	"MAX_TSS"	0.64297932	1	1
"Sp_14"	"RDF"	"LPT"	0.64297932	1	1
"Sp_14"	"RDF"	"SENSITIVITY"	0.69254318	0.880952380952381	1
"Sp_14"	"RDF"	"JACCARD"	0.64297932	1	1
"Sp_14"	"RDF"	"SORENSEN"	0.64297932	1	1
"Sp_17"	"MXD"	"MAX_KAPPA"	0.7932263	0.578947368421053	0.966966966966967
"Sp_17"	"MXD"	"MAX_TSS"	0.21390767	0.973684210526316	0.868329868329868
"Sp_17"	"MXD"	"LPT"	0.1362527	1	0.826749826749827
"Sp_17"	"MXD"	"SENSITIVITY"	0.24664014	0.894736842105263	0.878724878724879
"Sp_17"	"MXD"	"JACCARD"	0.7932263	0.578947368421053	0.966966966966967
"Sp_17"	"MXD"	"SORENSEN"	0.7932263	0.578947368421053	0.966966966966967
"Sp_17"	"SVM"	"MAX_KAPPA"	0.66084621	1	0.973684210526316
"Sp_17"	"SVM"	"MAX_TSS"	0.66084621	1	0.973684210526316
"Sp_17"	"SVM"	"LPT"	0.66084621	1	0.973684210526316
"Sp_17"	"SVM"	"SENSITIVITY"	0.96526484	0.894736842105263	0.973684210526316
"Sp_17"	"SVM"	"JACCARD"	0.66084621	1	0.973684210526316
"Sp_17"	"SVM"	"SORENSEN"	0.66084621	1	0.973684210526316
"Sp_17"	"RDF"	"MAX_KAPPA"	0.65016667	1	1
"Sp_17"	"RDF"	"MAX_TSS"	0.65016667	1	1
"Sp_17"	"RDF"	"LPT"	0.65016667	1	1
"Sp_17"	"RDF"	"SENSITIVITY"	0.78526667	0.894736842105263	1
"Sp_17"	"RDF"	"JACCARD"	0.65016667	1	1
"Sp_17"	"RDF"	"SORENSEN"	0.65016667	1	1
"Sp_18"	"MXD"	"MAX_KAPPA"	0.97967608	0.176470588235294	0.99
"Sp_18"	"MXD"	"MAX_TSS"	0.56400788	0.735294117647059	0.6985
"Sp_18"	"MXD"	"LPT"	0.18055124	1	0.1179
"Sp_18"	"MXD"	"SENSITIVITY"	0.37334309	0.882352941176471	0.4385
"Sp_18"	"MXD"	"JACCARD"	0.97967608	0.176470588235294	0.99
"Sp_18"	"MXD"	"SORENSEN"	0.97967608	0.176470588235294	0.99
"Sp_18"	"SVM"	"MAX_KAPPA"	0.26401338	0.882352941176471	0.647058823529412
"Sp_18"	"SVM"	"MAX_TSS"	0.26401338	0.882352941176471	0.647058823529412
"Sp_18"	"SVM"	"LPT"	0.0866251	1	0.117647058823529
"Sp_18"	"SVM"	"SENSITIVITY"	0.15823059	0.882352941176471	0.5
"Sp_18"	"SVM"	"JACCARD"	0.26401338	0.882352941176471	0.647058823529412
"Sp_18"	"SVM"	"SORENSEN"	0.26401338	0.882352941176471	0.647058823529412
"Sp_18"	"RDF"	"MAX_KAPPA"	0.55153302	0.970588235294118	1
"Sp_18"	"RDF"	"MAX_TSS"	0.55153302	0.970588235294118	1
"Sp_18"	"RDF"	"LPT"	0.41860134	1	0.941176470588235
"Sp_18"	"RDF"	"SENSITIVITY"	0.60712968	0.882352941176471	1
"Sp_18"	"RDF"	"JACCARD"	0.55153302	0.970588235294118	1
"Sp_18"	"RDF"	"SORENSEN"	0.55153302	0.970588235294118	1
"Sp_34"	"MXD"	"MAX_KAPPA"	0.99074241	0.0638297872340425	0.9946
"Sp_34"	"MXD"	"MAX_TSS"	0.51399679	0.936170212765957	0.5982
"Sp_34"	"MXD"	"LPT"	0.15375448	1	0.3019
"Sp_34"	"MXD"	"SENSITIVITY"	0.51557408	0.893617021276596	0.5999
"Sp_34"	"MXD"	"JACCARD"	0.99074241	0.0638297872340425	0.9946
"Sp_34"	"MXD"	"SORENSEN"	0.99074241	0.0638297872340425	0.9946
"Sp_34"	"SVM"	"MAX_KAPPA"	0.47600006	0.893617021276596	0.765957446808511
"Sp_34"	"SVM"	"MAX_TSS"	0.47600006	0.893617021276596	0.765957446808511
"Sp_34"	"SVM"	"LPT"	0.11612042	1	0.0425531914893617
"Sp_34"	"SVM"	"SENSITIVITY"	0.42611188	0.893617021276596	0.702127659574468
"Sp_34"	"SVM"	"JACCARD"	0.28167506	0.978723404255319	0.659574468085106
"Sp_34"	"SVM"	"SORENSEN"	0.28167506	0.978723404255319	0.659574468085106
"Sp_34"	"RDF"	"MAX_KAPPA"	0.47979761	0.978723404255319	0.978723404255319
"Sp_34"	"RDF"	"MAX_TSS"	0.63884198	0.957446808510638	1
"Sp_34"	"RDF"	"LPT"	0.42928567	1	0.914893617021277
"Sp_34"	"RDF"	"SENSITIVITY"	0.66119693	0.893617021276596	1
"Sp_34"	"RDF"	"JACCARD"	0.47979761	0.978723404255319	0.978723404255319
"Sp_34"	"RDF"	"SORENSEN"	0.47979761	0.978723404255319	0.978723404255319
"Sp_39"	"MXD"	"MAX_KAPPA"	0.93750723	0.142857142857143	0.9889
"Sp_39"	"MXD"	"MAX_TSS"	0.59596137	0.73469387755102	0.728
"Sp_39"	"MXD"	"LPT"	0.27353596	1	0.431
"Sp_39"	"MXD"	"SENSITIVITY"	0.34669299	0.897959183673469	0.4899
"Sp_39"	"MXD"	"JACCARD"	0.93750723	0.142857142857143	0.9889
"Sp_39"	"MXD"	"SORENSEN"	0.93750723	0.142857142857143	0.9889
"Sp_39"	"SVM"	"MAX_KAPPA"	0.41587412	0.959183673469388	0.714285714285714
"Sp_39"	"SVM"	"MAX_TSS"	0.41587412	0.959183673469388	0.714285714285714
"Sp_39"	"SVM"	"LPT"	0.21802527	1	0.63265306122449
"Sp_39"	"SVM"	"SENSITIVITY"	0.59176293	0.897959183673469	0.73469387755102
"Sp_39"	"SVM"	"JACCARD"	0.41587412	0.959183673469388	0.714285714285714
"Sp_39"	"SVM"	"SORENSEN"	0.41587412	0.959183673469388	0.714285714285714
"Sp_39"	"RDF"	"MAX_KAPPA"	0.5208155	1	1
"Sp_39"	"RDF"	"MAX_TSS"	0.5208155	1	1
"Sp_39"	"RDF"	"LPT"	0.5208155	1	1
"Sp_39"	"RDF"	"SENSITIVITY"	0.70657745	0.897959183673469	1
"Sp_39"	"RDF"	"JACCARD"	0.5208155	1	1
"Sp_39"	"RDF"	"SORENSEN"	0.5208155	1	1
