"Sp"	"Algorithm"	"THR"	"THR_VALUE"	"TPR"	"TNR"
"Sp_14"	"PCA"	"MAX_KAPPA"	0.76025394	0.833333333333333	0.952380952380952
"Sp_14"	"PCA"	"MAX_TSS"	0.76025394	0.833333333333333	0.952380952380952
"Sp_14"	"PCA"	"LPT"	0.51063361	1	0.69047619047619
"Sp_14"	"PCA"	"SENSITIVITY"	0.69483066	0.880952380952381	0.833333333333333
"Sp_14"	"PCA"	"JACCARD"	0.61795033	0.976190476190476	0.785714285714286
"Sp_14"	"PCA"	"SORENSEN"	0.61795033	0.976190476190476	0.785714285714286
"Sp_17"	"PCA"	"MAX_KAPPA"	0.5544597	1	0.921052631578947
"Sp_17"	"PCA"	"MAX_TSS"	0.5544597	1	0.921052631578947
"Sp_17"	"PCA"	"LPT"	0.5544597	1	0.921052631578947
"Sp_17"	"PCA"	"SENSITIVITY"	0.67723205	0.894736842105263	0.947368421052632
"Sp_17"	"PCA"	"JACCARD"	0.5544597	1	0.921052631578947
"Sp_17"	"PCA"	"SORENSEN"	0.5544597	1	0.921052631578947
"Sp_18"	"PCA"	"MAX_KAPPA"	0.55050352	0.764705882352941	0.911764705882353
"Sp_18"	"PCA"	"MAX_TSS"	0.55050352	0.764705882352941	0.911764705882353
"Sp_18"	"PCA"	"LPT"	0.2741113	1	0.647058823529412
"Sp_18"	"PCA"	"SENSITIVITY"	0.35080343	0.882352941176471	0.676470588235294
"Sp_18"	"PCA"	"JACCARD"	0.2741113	1	0.647058823529412
"Sp_18"	"PCA"	"SORENSEN"	0.2741113	1	0.647058823529412
"Sp_34"	"PCA"	"MAX_KAPPA"	0.59324152	0.893617021276596	0.872340425531915
"Sp_34"	"PCA"	"MAX_TSS"	0.59324152	0.893617021276596	0.872340425531915
"Sp_34"	"PCA"	"LPT"	0.33135002	1	0.659574468085106
"Sp_34"	"PCA"	"SENSITIVITY"	0.5613711	0.893617021276596	0.829787234042553
"Sp_34"	"PCA"	"JACCARD"	0.59324152	0.893617021276596	0.872340425531915
"Sp_34"	"PCA"	"SORENSEN"	0.59324152	0.893617021276596	0.872340425531915
"Sp_39"	"PCA"	"MAX_KAPPA"	0.6702271	0.836734693877551	0.959183673469388
"Sp_39"	"PCA"	"MAX_TSS"	0.6702271	0.836734693877551	0.959183673469388
"Sp_39"	"PCA"	"LPT"	0.34254083	1	0.693877551020408
"Sp_39"	"PCA"	"SENSITIVITY"	0.61303128	0.897959183673469	0.836734693877551
"Sp_39"	"PCA"	"JACCARD"	0.6702271	0.836734693877551	0.959183673469388
"Sp_39"	"PCA"	"SORENSEN"	0.6702271	0.836734693877551	0.959183673469388
