"species"	"x"	"y"
"Sp_14"	-55.3752585	-31.7084465
"Sp_14"	-54.2085965	-25.0418065
"Sp_14"	-58.2919135	-29.1251235
"Sp_14"	-57.2919175	-27.2917975
"Sp_14"	-54.3752625	-30.9584495
"Sp_14"	-54.2085965	-31.2917815
"Sp_14"	-51.2086085	-28.5417925
"Sp_14"	-59.7919075	-31.8751125
"Sp_14"	-54.2085965	-30.9584495
"Sp_14"	-52.0419385	-30.0417865
"Sp_14"	-52.0419385	-29.6251215
"Sp_14"	-54.0419305	-27.8751285
"Sp_14"	-57.2919175	-29.1251235
"Sp_14"	-55.9585895	-27.9584615
"Sp_14"	-55.7919235	-26.8751325
"Sp_14"	-59.5419085	-32.5417765
"Sp_14"	-55.7085905	-27.3751305
"Sp_14"	-57.3752505	-29.4584555
"Sp_14"	-57.3752505	-28.8751245
"Sp_14"	-54.5419285	-27.3751305
"Sp_14"	-55.4585915	-29.9584535
"Sp_14"	-57.0419185	-32.2917775
"Sp_14"	-56.1252555	-29.7917875
"Sp_14"	-52.5419365	-31.2084485
"Sp_14"	-54.6252615	-28.8751245
"Sp_14"	-56.1252555	-26.5418005
"Sp_14"	-58.7085785	-29.8751205
"Sp_14"	-53.7085985	-32.4584435
"Sp_14"	-57.2919175	-28.8751245
"Sp_14"	-52.7086025	-32.3751105
"Sp_14"	-57.8752485	-30.4584515
"Sp_14"	-58.7919115	-33.2084405
"Sp_14"	-55.9585895	-33.1251075
"Sp_14"	-55.8752565	-25.2084725
"Sp_14"	-52.3752705	-32.2084445
"Sp_14"	-53.2086005	-29.8751205
"Sp_14"	-58.6252455	-33.5417725
"Sp_14"	-59.3752425	-32.1251115
"Sp_14"	-56.2085885	-25.7084705
"Sp_14"	-58.0419145	-29.6251215
"Sp_14"	-52.8752685	-28.4584595
"Sp_14"	-55.9585895	-25.9584695
"Sp_17"	-73.1251875	-15.0418465
"Sp_17"	-70.8751965	-15.4585115
"Sp_17"	-69.1252035	-17.7085025
"Sp_17"	-70.4585315	-15.5418445
"Sp_17"	-69.1252035	-18.8751645
"Sp_17"	-72.5418565	-14.7918475
"Sp_17"	-69.7085345	-16.9585055
"Sp_17"	-71.1251955	-14.4585155
"Sp_17"	-69.3752025	-18.0418345
